AWS 지점 / 고도,강수,강수15,강수60,강수6H,강수12H,일강수,기온,풍향1,풍속1,풍향10,풍속10,습도,해면기압,위치,
90,속초,18m,○,0,0,0,0,0,21.2,225.5,-,0.0,188.9,S,0.2,59,1014.1,강원도 고성군 토성면 봉포리,
92,양양(공),75m,-,0,0,0,0,0,22.3,242.0,WSW,3.7,245.0,WSW,4.2,50,1015.0,강원도 양양군 손양면 동호리,
93,북춘천,96m,○,.,.,.,.,.,15.9,168.8,-,0.1,107.3,ESE,0.3,89,1016.1,강원도 춘천시 신북읍 산천리,
95,철원,155m,○,0,0,0,0,0,15.7,351.5,N,0.7,352.0,N,0.8,99,1016.2,강원도 철원군 갈말읍 군탄리,
96,독도,96m,○,0,0,0,0,0,23.5,139.3,SE,0.7,93.4,E,1.4,46,1015.7,경상북도 울릉군 울릉읍 독도리,
98,동두천,113m,○,0,0,0,0,0,18.2,355.3,N,1.0,9.4,N,1.0,85,1015.8,경기도 동두천시 생연동,
99,파주,29m,○,0,0,0,0,0,16.4,182.0,S,1.0,51.1,NE,0.4,100,1015.8,경기도 파주시 문산읍 운천리,
100,대관령,773m,○,0,0,0,0,0,11.2,358.6,N,0.5,296.9,WNW,1.2,93,1017.9,(산간)강원도 평창군 대관령면 횡계리,
101,춘천,76m,○,0,0,0,0,0,17.4,22.8,NNE,0.9,38.7,NE,1.1,92,1016.1,강원도 춘천시 우두동,
102,백령도,146m,○,0,0,0,0,0,24.6,67.7,ENE,0.9,67.4,ENE,0.9,18,1015.5,인천광역시 옹진군 백령면 연화리,
104,북강릉,79m,○,0,0,0,0,0,19.3,169.8,S,1.7,169.4,S,1.7,66,1014.7,강원도 강릉시 사천면 방동리,
105,강릉,26m,○,0,0,0,0,0,20.6,309.7,NW,2.3,307.4,NW,2.6,52,1014.8,강원도 강릉시 용강동,
106,동해,40m,○,0,0,0,0,0,19.8,227.6,SW,2.3,229.6,SW,2.1,69,1014.8,강원도 동해시 용정동,
108,서울,86m,○,0,0,0,0,0,22.4,273.1,W,0.9,298.6,WNW,1.1,73,1015.4,서울특별시 종로구 송월동,
110,김포(공),11m,-,0,0,0,0,0,20.3,330.0,NNW,0.5,10.0,N,0.5,73,1015.7,서울특별시 강서구 공항동,
112,인천,68m,○,0,0,0,0,0,22.9,346.3,NNW,2.4,349.6,N,2.7,60,1015.2,인천광역시 중구 전동,
113,인천(공),7m,-,0,0,0,0,0,22.4,340.0,NNW,1.8,350.0,N,1.8,71,1015.7,인천광역시 중구 운서동,
114,원주,149m,○,0,0,0,0,0,18.7,101.2,E,0.8,82.5,E,0.7,66,1015.7,강원도 원주시 명륜동,
115,울릉도,223m,○,0,0,0,0,0,21.0,119.6,ESE,0.4,170.8,S,0.4,41,1015.8,경상북도 울릉군 울릉읍 도동리,
